用户ID,订单编号,商品ID,根类别ID,购买数量,时间戳,孩子出生日期,孩子性别,孩子年龄
153843973,24461432324,50023670,28,1,2013-12-18,2008-02-24,男,5.82
143220732,36614249895,50010542,50008168,1,2014-10-10,2008-12-16,男,5.82
75343881,17908085498,50013636,50008168,1,2013-04-13,2012-02-25,女,1.13
107865814,8178914719,50023777,28,1,2014-05-29,2012-06-20,男,1.94
27488537,40537997104,50013207,50008168,1,2014-08-11,2009-06-16,女,5.16
157720562,22257223300,50009547,50014815,1,2015-01-24,2014-08-31,女,0.4
460727512,26209400280,50018831,50014815,3,2013-12-22,2009-07-22,女,4.42
779336988,19058008657,50012451,50008168,1,2012-09-07,2010-03-10,男,2.5
664444918,40719234627,50010558,50008168,1,2014-09-20,2011-09-27,男,2.98
1862594497,17150876686,50023670,28,1,2013-12-18,2010-01-05,女,3.95
718858754,24395160617,50013636,50008168,1,2013-05-13,2011-10-15,男,1.58
83359531,25168468921,50009540,50014815,1,2013-07-26,2011-02-05,男,2.47
26629842,41721177698,50010544,50008168,1,2014-12-12,2013-11-24,女,1.05
376448732,18698129526,50010566,50008168,1,2013-09-09,2006-03-07,男,7.52
838547338,24881140136,50010558,50008168,1,2013-06-07,2012-12-18,女,0.47
367595379,24285048902,50012451,50008168,1,2014-02-27,2010-09-23,男,3.43
34296803,2871416722,50008875,28,1,2013-09-24,2009-04-14,女,4.45
102571912,14243394387,50006602,50008168,1,2012-08-02,2010-11-16,女,1.71
799287214,24289020782,50014274,50014815,1,2013-06-25,2012-08-13,女,0.87
20087991,37848480268,50016706,50022520,1,2014-06-01,2010-08-08,女,3.82
867290915,25354416045,50013636,50008168,1,2014-07-04,2007-02-07,女,7.41
515908401,40106626875,50013207,50008168,1,2014-08-08,2011-07-14,女,3.07
279787751,37469126057,50023715,28,1,2014-03-20,2013-09-14,男,0.51
721803445,27541700398,50013636,50008168,1,2013-12-30,2008-08-08,女,5.4
403168768,38978433711,50018831,50014815,1,2014-07-19,2013-12-17,女,0.59
714919791,12605082527,50228021,50014815,1,2013-01-11,2012-03-16,男,0.82
733070564,42557673678,50010549,50008168,1,2015-01-17,2014-12-17,男,0.08
87526273,19733405881,50013636,50008168,1,2013-11-26,2010-11-01,女,3.07
272757969,43352070226,50010544,50008168,1,2015-01-21,2011-02-24,女,3.91
1817973372,15283087345,50016454,28,1,2014-08-03,2012-02-23,男,2.44
131802832,37536988312,50013207,50008168,1,2014-09-20,2012-04-05,男,2.46
504846829,43161044611,50012564,50014815,5,2015-01-19,2013-10-24,男,1.24
124333754,4347434860,50018824,38,1,2014-10-21,2014-03-23,男,0.58
653290859,15201138534,50010558,50008168,1,2012-09-14,2007-08-20,男,5.07
47742510,13518730030,121398035,50022520,1,2014-10-19,2014-07-27,女,0.23
112175464,39475654625,50008845,28,1,2014-07-29,2014-01-01,女,0.57
1672630998,36962807964,50006602,50008168,3,2014-03-25,2014-03-02,男,0.06
442973445,8949249584,50023663,28,1,2013-11-13,2013-05-20,男,0.48
18382012,27095116998,50002524,28,1,2013-12-31,2009-05-30,男,4.59
274379633,41639051049,50013881,28,1,2015-01-18,2014-06-27,男,0.56
633734925,35723840617,50010236,50014815,1,2014-01-17,2012-03-24,女,1.82
1822398971,41617854706,211122,38,1,2014-10-22,2013-05-08,女,1.46
217491793,40733937812,50023777,28,1,2014-11-11,2013-02-10,女,1.75
52971251,14733059304,50012449,50008168,1,2014-02-26,2013-06-17,女,0.7
299196791,38217159047,50013187,28,26,2014-05-21,2014-03-31,女,0.14
224292962,18387768742,50228021,50014815,3,2015-01-20,2012-12-13,男,2.1
1577585731,19799317492,50010558,50008168,1,2014-01-06,2013-03-21,女,0.8
1836568285,41204717346,50010566,50008168,1,2014-10-19,2011-11-23,女,2.91
517793335,16719576868,50006843,38,2,2012-07-10,2011-07-10,男,1.0
31465015,15284214987,50006823,28,1,2013-12-02,2012-06-01,男,1.5
42687654,36544264727,50010538,50008168,1,2014-01-06,2009-05-15,男,4.65
401026519,20175111454,50015841,28,1,2013-06-04,2011-03-20,女,2.21
58463787,35348722557,203527,28,1,2013-10-26,2010-09-28,男,3.08
126581934,17509603102,50010544,50008168,1,2012-12-08,2011-05-19,女,1.56
1070284684,26778408178,50013207,50008168,1,2013-09-27,2011-12-29,女,1.75
67985523,20193534613,50014271,50014815,1,2014-01-02,2012-07-13,女,1.47
1076986436,15117929670,50013636,50008168,1,2013-05-29,2012-03-20,女,1.19
1052158519,25605368474,50023637,28,1,2014-01-14,2012-03-29,女,1.8
468484747,14659086347,50010558,50008168,1,2013-05-20,2011-05-31,男,1.97
62879667,35633055239,121394024,50008168,1,2014-12-12,2011-12-05,女,3.02
54925736,12310877181,50006602,50008168,1,2013-10-19,2013-04-28,女,0.48
200849884,17009939906,50012451,50008168,1,2012-11-12,2006-01-13,男,6.84
296255521,35594754309,50012365,122650008,2,2014-01-12,2012-09-15,女,1.33
59069103,10491058986,251725,28,1,2012-07-19,2006-04-13,女,6.27
379910739,12881672070,50012451,50008168,2,2012-09-04,2011-02-26,女,1.52
67443207,18921322045,50012360,122650008,1,2013-08-02,2008-01-01,女,5.59
685332320,12781785338,50018831,50014815,2,2013-06-01,2012-02-23,女,1.27
389326420,17164967407,50006820,28,1,2014-09-16,2013-07-17,女,1.17
359840716,17513925908,50013207,50008168,1,2013-03-18,2009-01-20,女,4.16
1372572,16915013171,50008845,28,1,2013-03-27,2012-01-30,男,1.16
54855720,39635136808,50018436,50014815,2,2014-09-13,2013-01-28,女,1.62
